uniprot_acc	complex_id	protein_complex_name
Q12328	450	mitochondrial inner membrane protein insertion complex (GO)
Q06142	68	Nup60-Nup2 nuclear pore complex
P40468	360	putative Tao3-Yml081w complex
P53941	170	90S preribosome
P80428	168	INO80 complex
Q12527	81	Atg11-Atg17-Atg29-Cis1 complex
P22139	182	RNA polymerase I complex
Q12194	317	putative Ipp1-Tus1-Ypl066w complex
P40016	183	proteasome regulatory particle
Q3E7C1	352	putative core TFIIH Tfb5-Tfb2 subcomplex
P32445	399	putative Rim1-Rad52 complex
Q12321	138	Srb-mediator complex
P20459	185	eukaryotic translation initiation factor 2B complex
P36018	255	putative Skp1-Ypt52-Ymr258c complex
P40091	98	polarisome
P20435	215	RNA polymerase I complex
P53251	412	90S preribosome (GO)
P47017	462	snRNP U6
P53252	395	putative Pkh1-Mrp8-Pil1-Lsp1 complex
P38922	439	TREX complex
P39015	473	nuclear telomere cap complex (GO)
P53202	368	putative Cul3-Yil001w complex
P38065	176	AP-2 adaptor complex
P43601	239	putative Atg18-Atg2 complex
P52286	220	putative Skp1-Ypt52-Ymr258c complex
P40563	261	putative Yer071c-Aim21-Cap1-Cap2 complex
P46674	44	Sac3-Thp1 complex
P12689	334	putative Yor251c-Rev1 complex
Q03071	150	Cul3-RING ubiquitin ligase complex (GO)
P41318	508	TORC1 complex (GO)
P39007	479	oligosaccharyl transferase complex (GO)
P46957	104	delta DNA polymerase complex
P48836	152	vacuolar proton-transporting V-type ATPase, V1 domain
P06104	484	Rad6-Rad18 complex
P48439	479	oligosaccharyl transferase complex (GO)
Q99207	170	Noc4p-Nop14p complex (GO)
P25336	162	MutSBeta complex
P40992	496	RNA polymerase I transcription factor complex (GO)
Q00684	489	RENT complex (GO)
Q06142	68	Ulp1 nuclear pore complex
Q03940	187	SWR1 complex
Q12297	217	transcription factor TFIID complex
P46964	479	oligosaccharyl transferase complex (GO)
P10080	316	putative Kem1-Gbp2-Sro9-Sbp1 complex
P14907	74	nucleoporin Nup82 subcomplex
P53741	13	Ubp3-Bre5 complex
Q08773	419	chromatin accessibility complex (GO)
Q03834	121	MutSalpha complex
P38304	138	Srb-mediator complex
P32783	430	DNA-directed RNA polymerase II, holoenzyme (GO)
P45818	170	90S preribosome
P29496	446	MCM complex (GO)
P50102	174	SAGA complex
P47079	216	chaperonin-containing T-complex
P61830	5	HAT-A4 complex
P21524	495	ribonucleoside-diphosphate reductase complex (GO)
Q07914	449	mitochondrial inner membrane presequence translocase complex (GO)
P06780	410	1,3-beta-glucan synthase complex (GO)
P36070	496	RNA polymerase I transcription factor complex (GO)
P36145	117	transcription factor TFIIE complex
P39013	3	Pan1-End3 complex
P69850	130	DASH complex
P47006	169	RNA polymerase I complex
P49626	219	cytosolic large ribosomal subunit
P09959	141	MBF transcription complex
P34111	198	transcription factor TFIIIC complex
P53125	419	chromatin accessibility complex (GO)
Q03067	174	SAGA complex
P14284	518	zeta DNA polymerase complex (GO)
P38089	321	putative Ptc4-Ydr186c complex
P17157	22	putative Pcl8-Pho85 CDK-cyclin complex
P42837	58	Vac14-Fig4 complex
Q12207	297	putative Vac8-Nce102 complex
Q05029	186	exomer complex
P0CX45	219	cytosolic large ribosomal subunit
P53336	379	putative Ygr283c-Idp3 complex
P25586	170	90S preribosome
P35194	170	90S preribosome
P32600	508	TORC2 complex (GO)
P39936	222	eukaryotic translation initiation factor 4F complex
P53256	229	exosome (RNase complex)
P23595	111	protein phosphatase type 2A complex
P39929	433	putative Snf7-Vps4 complex
O94742	183	proteasome regulatory particle
Q02892	474	preribosome, large subunit precursor
P23644	392	putative Mdm10-Mpm1-Tom40-Yhm2 complex
P53861	424	Cul3-RING ubiquitin ligase complex (GO)
P39107	193	alpha-1,6-mannosyltransferase complex
P39731	188	MIND complex
P32481	185	eukaryotic translation initiation factor 2B complex
Q03063	10	Ste12-Dig1-Dig2 complex
P43569	418	putative Sah1-Caf16 complex
P46984	159	EKC-KEOPS protein complex
P38262	119	Set3C
P35189	469	putative Taf8-Taf14-Taf2 TFIID subcomplex
P21827	51	Gsp1-Prp20 complex
Q12464	116	R2TP complex
P31244	490	repairosome (GO)
P00937	88	anthranilate synthase complex
P53861	424	putative Ela1-Tys1 complex
P35729	66	nucleoporin Nup84 subcomplex
Q12124	138	Srb-mediator complex
P38439	122	Cdc73-Paf1 complex
P24279	446	MCM complex (GO)
P38700	124	AP-1 adaptor complex
Q06624	96	SUMO activating enzyme complex
P25648	138	Srb-mediator complex
Q12446	269	putative Las17-Sla1-Vrp1 complex
Q06168	171	RSC complex
P12611	17	Psr2-Psr1-Whi2 complex
P11978	421	TEL complex
P53973	79	HDA complex
P36123	33	Sit4-Sap190 complex
P00549	394	putative Cdc19-Pyk2 isozyme complex
Q04693	105	snRNP U2
P39925	144	m-AAA complex
P47136	201	septin complex
Q08773	73	chromatin accessibility complex (GO)
P17558	123	mitochondrial small ribosomal subunit
P33750	170	90S preribosome
P0CX42	245	putative Rpl23a-Rpl23b-Bcp1-Rkm1 complex
P01123	370	putative Gdi1-Ypt6-Ypt1 complex
P38953	492	Rhp55-Rhp57 complex (GO)
P38985	149	signal recognition particle
Q12432	168	NuA4 histone acetyltransferase complex
P53861	509	transcription elongation factor complex (GO)
Q04603	113	epsilon DNA polymerase complex
P53942	493	ribonuclease H2 complex
Q08924	240	putative Trm7-Rtt10 complex
Q12341	5	HAT-A4 complex
P43612	9	Sit4-Sap155 complex
P11978	421	nuclear telomere cap complex (GO)
P39714	385	putative Bdh1-Bdh2 complex
Q06412	317	putative Ipp1-Tus1-Ypl066w complex
P34160	423	nuclear cap binding complex (GO)
P40856	280	putative Sit4-Sap185-Rts3-Hrk1 complex
P25648	510	Srb-mediator complex
P00925	482	phosphopyruvate hydratase complex (GO)
P53900	221	prefoldin complex
P14832	119	Set3C
P40070	234	snRNP U6
P32366	86	vacuolar proton-transporting V-type ATPase, V0 domain
P53079	134	Golgi transport complex
P40413	216	chaperonin-containing T-complex
P32502	185	eukaryotic translation initiation factor 2B complex
P11978	65	nuclear telomere cap complex (GO)
P38990	143	snf1 protein kinase complex
P53280	418	CCR4-NOT complex
P28007	415	box H/ACA snoRNP complex (GO)
P36144	170	90S preribosome
P14747	206	calcineurin complex (GO)
P39006	315	putative Pmr1-Psd1 complex
P53152	514	ubiquitin conjugating enzyme complex
P0CX39	154	cytosolic small ribosomal subunit
P40991	204	preribosome, large subunit precursor
P49957	48	Trm9-Trm112 complex
P54837	343	Erp1-Erp2-Emp24-Erv25 p24 complex
P00546	426	cyclin-dependent protein kinase holoenzyme complex (GO)
Q06151	38	Dcs1-Dcs2 heterodimer
Q07949	17	Psr2-Psr1-Whi2 complex
P32914	215	DSIF complex (GO)
P16658	513	tRNA-intron endonuclease complex
P53732	123	mitochondrial small ribosomal subunit
Q06696	120	ESCRT II complex
P11978	65	TEL complex
P23615	70	transcription elongation factor complex (GO)
P0CX32	154	cytosolic small ribosomal subunit
P16965	453	mitochondrial proton-transporting ATP synthase complex (GO)
P32628	205	Rad23-Png1 complex
P32480	213	HIR complex
Q04177	170	90S preribosome
P02309	5	HAT-A4 complex
P40079	170	90S preribosome
Q3E705	336	putative Efg1-Bud22 complex
P53299	451	mitochondrial intermembrane space protein transporter complex (GO)
P22224	202	exocyst
P46985	193	alpha-1,6-mannosyltransferase complex
Q04013	392	putative Mdm10-Mpm1-Tom40-Yhm2 complex
P20424	149	signal recognition particle
P46655	110	methionyl glutamyl tRNA synthetase complex
P40090	422	cohesin loading complex (GO)
P32829	461	Mre11 complex
P36533	94	mitochondtrial large ribosomal subunit
P50105	217	transcription factor TFIID complex
P20434	182	RNA polymerase III complex
Q12379	191	anaphase-promoting complex
P09938	495	ribonucleoside-diphosphate reductase complex (GO)
P32328	262	putative Mob1-Dbf20 complex
P40491	285	putative Fmc1-Atp12 complex
P0CX40	154	cytosolic small ribosomal subunit
P37370	269	putative Las17-Sla1-Vrp1 complex
P18409	458	mitochondrial sorting and assembly machinery complex (GO)
Q05791	185	eukaryotic translation initiation factor 2B complex
P04051	182	RNA polymerase III complex
P43583	192	proteasome core complex (GO)
P06701	421	nuclear telomere cap complex (GO)
P38222	351	putative Map1-Ybr030w complex
P20604	33	putative Sit4-Sap185-Rts3-Hrk1 complex
P33332	202	exocyst
P38806	168	NuA4 histone acetyltransferase complex
P53851	146	TREX complex
O14455	219	cytosolic large ribosomal subunit
Q03071	509	NEF4 complex
P53201	168	SWR1 complex
P40970	102	serine C-palmitoyltransferase complex
P14907	74	nucleoporin Nsp1 subcomplex
P47047	99	TRAMP complex
P43321	125	commitment complex (GO)
P32501	185	eukaryotic translation initiation factor 2B complex
P38132	243	MCM complex (GO)
P06367	219	cytosolic large ribosomal subunit
P13517	435	F-actin capping protein complex (GO)
P43569	418	CCR4-NOT complex (GO)
P25382	362	putative Arx1-Rsa4-Sda1-Ipi3-Nsa2-Nog2-Bud20-Ipi1-Mdn1 complex
P17076	219	cytosolic large ribosomal subunit
P53124	426	cyclin-dependent protein kinase holoenzyme complex (GO)
P20436	215	RNA polymerase II complex
P47168	325	putative Yjr136c-Ykl033w complex
P25299	71	cleavage factor I complex
P21373	277	putative Yef1-Utr1 complex
P14126	219	cytosolic large ribosomal subunit
P06700	200	RENT complex
P12695	137	mitochondrial pyruvate dehydrogenase complex
P38930	90	protein kinase CK2 complex
P28006	487	protein phosphatase type 1 complex (GO)
P53540	155	gamma-tubulin small complex, spindle pole body
P46672	110	methionyl glutamyl tRNA synthetase complex
P50875	174	SAGA complex
P25374	257	putative Nfs1-Isd11 complex
P38993	441	high affinity iron permease complex (GO)
P38272	12	She2-She3-Myo4 complex
P14736	205	repairosome (GO)
P20436	215	RNA polymerase III complex
P26449	61	mitotic checkpoint complex (GO)
P54791	180	origin recognition complex
O75012	123	mitochondrial small ribosomal subunit
P53251	475	90S preribosome (GO)
Q07896	467	Noc2p-Noc3p complex (GO)
P38149	24	Dug2-Dug3 complex
P47128	168	NuA3 histone acetyltransferase complex (GO)
P18409	392	putative Mdm10-Mpm1-Tom40-Yhm2 complex
P31384	139	CCR4-NOT complex
Q12460	414	90S preribosome
Q02555	53	Nrd1-Nab3-Sen1 termination complex
P33322	415	core H-ACA snoRNP
P28627	448	mitochondrial inner membrane peptidase complex (GO)
P32839	333	putative Aro3-Bcs1 complex
P32913	190	retromer complex
P32628	484	nucleotide-excision repair factor 2 complex
P00546	72	Cln-Cdc28 protein kinase complex
Q03330	174	SAGA complex
P53298	64	COMA complex
P53114	138	Srb-mediator complex
Q05123	171	RSC complex
Q03940	116	INO80 complex
P40164	398	putative Psy2-Rrd1 complex
P20434	182	RNA polymerase II complex
P40208	132	GID complex
P13517	261	putative Yer071c-Aim21-Cap1-Cap2 complex
P00358	383	putative Tdh1-Tdh2 isozyme complex
P18409	458	Mdm10/Mdm12/Mmm1 complex (GO)
Q06178	371	putative Nma2-Nma1 complex
P32504	417	CBF3 complex (GO)
P12385	196	translation release factor complex
P10363	147	alpha DNA polymerase:primase complex
P38920	463	MutLbeta complex (GO)
Q12329	337	putative Hsp42-Gln1 complex
P39984	5	HAT-A4 complex
P11914	135	mitochondrial processing peptidase complex
Q05919	91	phosphatidylinositol 3-kinase complex II
Q03071	509	nucleotide-excision repair factor 4 complex (GO)
P42843	515	ubiquitin ligase complex (GO)
O13297	118	mRNA capping enzyme complex
Q06148	429	DNA ligase IV complex (GO)
Q12192	320	putative Sum1-Rfm1 complex
P27801	161	HOPS complex
P40079	501	small nuclear ribonucleoprotein complex (GO)
P32628	490	proteasome complex (GO)
P32629	193	alpha-1,6-mannosyltransferase complex
Q12107	191	anaphase-promoting complex
P25635	170	90S preribosome (GO)
P50086	486	proteasome regulatory particle (GO)
P00950	274	putative Tdh3-Pgk1-Eno2-Fba1-Pgm1 complex
P51862	358	putative Ipp1-Ack1-Rom2 complex
P53961	438	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex (GO)
P22353	94	mitochondtrial large ribosomal subunit
Q07532	430	DNA-directed RNA polymerase II, holoenzyme (GO)
P38630	156	Elg1 RFC-like complex
P41812	129	ribonuclease MRP complex
P52870	512	translocon complex (GO)
P32327	329	putative Pyc1-Pyc2 isozyme complex
Q12344	31	Gyl1-Gyp5 complex
Q08444	483	preribosome (GO)
Q08920	423	nuclear cap binding complex (GO)
Q05949	60	Bur1-Bur2 CDK-cyclin complex
P36100	117	transcription factor TFIIE complex
P50942	307	putative Crn1-Inp52-Bsp1 complex
P89102	202	exocyst
P35189	397	RNA polymerase II complex
P35817	116	SWR1 complex
P40518	173	Arp2-3 protein complex
P15731	300	putative Ubc4-Ufd4 complex
Q03322	46	Tlg1 SNARE complex
P27895	275	putative Cin8-Zwf1 complex
P39517	234	snRNP U6
P40005	221	prefoldin complex
Q08963	105	snRNP U2
P39014	472	nuclear SCF ubiquitin ligase complex (GO)
Q00381	176	AP-2 adaptor complex
P32657	509	transcription elongation factor complex (GO)
P40085	357	putative Yer140w-Slp1 complex
P38783	123	mitochondrial small ribosomal subunit
P48363	221	prefoldin complex
P47035	489	RENT complex (GO)
P48361	430	DNA-directed RNA polymerase II, holoenzyme (GO)
P40485	508	TORC2 complex (GO)
Q05778	30	Pba1-Pba2 complex
P39726	437	glycine cleavage complex (GO)
P36057	210	signal recognition particle receptor complex
P42943	216	chaperonin-containing T-complex
P40512	203	signalosome
Q12216	171	RSC complex
P38129	174	transcription factor TFIID complex
P38632	181	Smc5-Smc6 complex
P35180	452	mitochondrial outer membrane translocase complex (GO)
P47128	168	NuA4 histone acetyltransferase complex
P38064	94	mitochondtrial large ribosomal subunit
P49723	495	ribonucleoside-diphosphate reductase complex
P32830	450	mitochondrial inner membrane protein insertion complex (GO)
P36068	12	She2-She3-Myo4 complex
P29547	167	eukaryotic translation elongation factor 1 complex
P38764	183	proteasome regulatory particle
P39985	170	90S preribosome
P40003	401	putative Vab2-Ydr357c-Ykl061w-YGL079w-Ynl086w complex
P15790	90	protein kinase CK2 complex
Q08925	303	putative Ste23-Mrn1 complex
P25441	182	RNA polymerase III complex
P27692	431	DSIF complex (GO)
P52868	409	spliceosome
P06103	212	eukaryotic translation initiation factor 3 complex
Q03640	244	putative Flc2-Tcb3 complex
Q00916	423	commitment complex (GO)
P33298	183	proteasome regulatory particle
P04050	215	RNA polymerase II complex
P53201	116	NuA4 histone acetyltransferase complex
P39744	204	Noc1p-Noc2p complex (GO)
P53254	170	90S preribosome
P29469	446	MCM complex (GO)
P00546	426	Cln-Cdc28 protein kinase complex
P15108	59	Cpr6-Hsc82-Sti1-Hsp82 complex
P47017	234	snRNP U6
P53874	355	putative Dhr2-Ubp10 complex
P32492	12	She2-She3-Myo4 complex
P20448	252	putative Hca4-Esf1-Esf2 complex
Q08096	170	90S preribosome
P40460	108	Ndc80 complex
Q06631	170	90S preribosome
P06208	404	putative Leu4-Leu9 isozyme complex
P27344	113	epsilon DNA polymerase complex
Q03195	212	eukaryotic translation initiation factor 3 complex
Q02931	489	90S preribosome
Q07458	109	Rpd3L complex
P38328	173	Arp2-3 protein complex
Q3E7Y3	154	cytosolic small ribosomal subunit
Q06505	70	transcription elongation factor complex (GO)
P37298	455	mitochondrial respiratory chain complex II (GO)
P00925	274	putative Tdh3-Pgk1-Eno2-Fba1-Pgm1 complex
P06838	476	nucleotide-excision repair factor 1 complex
P14922	103	Cyc8-Tup1 corepressor complex
Q06162	64	COMA complex
P26783	219	cytosolic large ribosomal subunit
P54837	77	Erp1-Erp2-Emp24-Erv25 p24 complex
P53942	493	ribonuclease H2 complex (GO)
Q12488	93	GINS complex
P40454	263	putative Psy2-Rrd1 complex
P38920	43	MutLalpha complex
P39719	249	putative Flc2-Tcb3 complex
P00924	382	putative Pck1-Eno1 complex
P06779	490	NEF4 complex
P46988	221	prefoldin complex
P35189	469	NuA3 histone acetyltransferase complex (GO)
P38326	116	SWR1 complex
P20434	169	RNA polymerase I complex
P49095	437	glycine cleavage complex (GO)
P35727	401	putative Vab2-Ydr357c-Ykl061w-YGL079w-Ynl086w complex
P47077	475	90S preribosome (GO)
P06779	150	NEF4 complex
P53306	438	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex (GO)
P53336	374	putative Ygr283c-Idp3 complex
P25443	219	cytosolic large ribosomal subunit
P13712	177	CAF-1 complex
P62651	438	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex (GO)
P20081	306	putative Fap1-Fpr1-Yil161w complex
P31244	424	Cul3-RING ubiquitin ligase complex (GO)
P07260	222	eukaryotic translation initiation factor 4F complex
P22214	29	ER SNARE Use1
P38922	146	heterogeneous nuclear ribonucleoprotein complex (GO)
P53254	170	CURI complex (GO)
P30402	314	putative Ura5-Ura10 isozyme complex
P40509	131	COPI vesicle coat
P07255	163	cytochome c oxidase complex, subunits IV, Va, VI and VIIa
P53859	229	exosome (RNase complex)
P39968	297	putative Vac8-Nce102 complex
P38333	475	nucleolar preribosome, small subunit precursor (GO)
P20052	426	Pho80-Pho81-Pho85 CDK-cyclin complex
P0CX28	219	cytosolic large ribosomal subunit
P15891	375	putative Abp1-Crn1 complex
P48837	78	nucleoporin Nsp1 subcomplex
P16451	137	mitochondrial pyruvate dehydrogenase complex
P38873	112	TORC1 complex
Q02724	68	Ulp1 nuclear pore complex
P39001	109	Rpd3L complex
P0CX38	219	cytosolic large ribosomal subunit
P23644	452	putative Mdm10-Mpm1-Tom40-Yhm2 complex
P23641	341	putative Crm1-Mir1-Erd2-Tub1-Gea2-Mtr10-Kap104 complex
P60010	187	INO80 complex
P38153	106	AP-3 adaptor complex
P00546	72	cyclin-dependent protein kinase holoenzyme complex (GO)
P32913	190	retromer complex, outer shell (GO)
P25368	390	putative Rrp7-Ifh1 complex
Q06440	375	putative Abp1-Crn1 complex
P29478	149	signal recognition particle
P39730	212	eukaryotic translation initiation factor 3 complex
P04456	219	cytosolic large ribosomal subunit
P80428	187	NuA4 histone acetyltransferase complex
P40422	169	RNA polymerase I complex
P31244	478	Cul3-RING ubiquitin ligase complex (GO)
P53437	497	RNA polymerase I upstream activating factor complex (GO)
P23594	111	protein phosphatase type 2A complex
P32608	164	SCF ubiquitin ligase complex
Q12133	498	signal peptidase complex (GO)
P14747	206	calcineurin complex
P53982	374	putative Ygr283c-Idp3 complex
Q08966	312	putative Pcl8-Pho85 CDK-cyclin complex
P53305	123	mitochondrial small ribosomal subunit
P39940	331	ubiquitin ligase complex (GO)
P06779	490	nucleotide-excision repair factor 4 complex (GO)
Q12098	500	Slx1-Slx4 complex (GO)
P38788	47	ribosome-associated complex
P06779	150	nucleotide-excision repair factor 4 complex (GO)
P10081	282	putative Tif1-Tif2 complex
Q04410	281	Grh1-Bug1 complex
P47108	246	putative Rsa3-Urb1-Urb2-Nop8 complex
P03965	136	carbamoyl-phosphate synthase complex
P26570	289	putative Ykl088w-Ppz1 complex
P40164	263	putative Ssd1-Psy4-Pph3-Psy2 complex
Q02884	189	Elongator holoenzyme complex
P38254	67	Dcp1-Dcp2 decapping enzyme complex
Q04373	204	preribosome, large subunit precursor
P40693	204	preribosome, large subunit precursor
Q04087	460	monopolin complex (GO)
P38631	410	1,3-beta-glucan synthase complex (GO)
P53236	171	RSC complex
P52286	255	CBF3 complex (GO)
P50086	486	proteasome regulatory particle
P02407	154	cytosolic small ribosomal subunit
P11978	421	chromatin silencing complex (GO)
P00427	163	cytochome c oxidase complex, subunits IV, Va, VI and VIIa
P19524	335	putative Cmd1-Mlc1-Myo2-Myo1-Mlc2 complex
P53146	29	ER SNARE Use1
Q02725	517	vacuolar transporter chaperone complex (GO)
P25045	102	serine C-palmitoyltransferase complex
P25368	425	CURI complex (GO)
P33301	208	Mre11 complex
P53040	174	SAGA complex
P33202	300	putative Ubc4-Ufd4 complex
P06105	47	ribosome-associated complex
P53734	474	nucleolar preribosome, large subunit precursor (GO)
Q04947	296	putative Sok1-Rtn1-Crp1-Ids2-Pep4 complex
P36024	62	Sis2-Ykl088w-Vhs3 complex
P14066	457	mitochondrial ribosome (GO)
P11978	65	chromatin silencing complex (GO)
P34160	470	nuclear cap binding complex (GO)
P0CS90	19	Tim44-Ssc1 heterodimer
Q03630	175	TRAPP complex
Q02796	284	putative Bre1-Lge1 complex
P36084	423	commitment complex 2
P40078	362	nucleolar preribosome, large subunit precursor (GO)
P41318	507	TORC1 complex (GO)
P38132	243	putative Cdc47-Erg26 complex
Q08491	229	exosome (RNase complex) (GO)
P14736	490	repairosome (GO)
P22139	169	RNA polymerase III complex
P43593	183	proteasome regulatory particle
P38009	365	putative Ade16-Ade17-Sol2 complex
Q08446	515	ubiquitin ligase complex (GO)
Q01080	169	RNA polymerase I complex
P0CS90	37	Tim44-Ssc1 heterodimer
P38276	322	putative Ybr137w-Sgt2-Mdy2-Yor164c complex
P25359	229	exosome (RNase complex)
P26784	219	cytosolic large ribosomal subunit
P07213	452	mitochondrial outer membrane translocase complex (GO)
P05750	475	cytosolic large ribosomal subunit
P53220	449	mitochondrial inner membrane presequence translocase complex (GO)
P34730	327	putative Nth1-Bmh1-Bmh2 complex
P28000	182	RNA polymerase III complex
P53289	280	putative Sit4-Sap185-Rts3-Hrk1 complex
P52490	140	ubiquitin conjugating enzyme complex
P07257	235	subunit VII of the cytochrome bc1 complex
Q04779	109	Rpd3L complex
P08964	335	putative Cmd1-Mlc1-Myo2-Myo1-Mlc2 complex
Q02260	125	U4-U6 x U5 tri-snRNP complex
P12383	171	RSC complex
P38737	484	proteasome complex (GO)
Q08966	312	cyclin-dependent protein kinase holoenzyme complex (GO)
P00729	42	Ic-CPY complex
P60010	116	SWR1 complex
P53011	66	nucleoporin Nup84 subcomplex
P38797	287	putative Ptc7-Sec14 complex
Q03940	35	SWR1 complex
Q05942	246	putative Rsa3-Urb1-Urb2-Nop8 complex
P38881	264	putative Nvj1-Tos4 complex
Q05946	170	90S preribosome
P36041	462	mRNA cap complex (GO)
P38930	425	protein kinase CK2 complex
P53063	34	Rtt103-Rai1-Rat1 complex
Q03281	347	putative Heh2-Erg24 complex
P53061	504	synaptonemal complex (GO)
Q06217	125	U4-U6 x U5 tri-snRNP complex
P38696	432	dynactin complex (GO)
Q12030	217	SAGA complex
P32628	205	proteasome complex (GO)
P39940	331	putative Yhr131c-Rsp5 complex
Q07953	474	nucleolar preribosome, large subunit precursor (GO)
Q01852	19	Tim44-Ssc1 heterodimer
O14464	94	mitochondtrial large ribosomal subunit
Q12415	198	transcription factor TFIIIC complex
P53829	139	CCR4-NOT complex (GO)
P06701	421	chromatin silencing complex (GO)
P39744	466	Noc2p-Noc3p complex (GO)
Q05933	173	Arp2-3 protein complex
P22515	268	putative Uba1-Ydr415c complex
Q12754	170	90S preribosome
P36131	130	DASH complex
P23615	509	transcription elongation factor complex (GO)
P38915	174	SAGA complex
Q08387	429	DNA ligase IV complex (GO)
P53549	183	proteasome regulatory particle
P23201	98	polarisome
P32367	198	transcription factor TFIIIC complex
P25302	231	SBF transcription complex
P25644	234	snRNP U6
Q12348	203	signalosome
Q03690	310	putative Tub3-Gcn1-Gcn20-Gfa1-Mae1-Sam1-Clu1 complex
P38242	516	UDP-N-acetylglucosamine transferase complex (GO)
Q03654	409	spliceosome
P53261	204	nucleolar preribosome, large subunit precursor (GO)
P21374	409	spliceosome
P53128	328	putative Met13-Yml082w complex
P32628	18	nucleotide-excision repair factor 2 complex
P53742	362	putative Arx1-Rsa4-Sda1-Ipi3-Nsa2-Nog2-Bud20-Ipi1-Mdn1 complex
P32628	490	Rad23-Png1 complex
P06777	165	nucleotide-excision repair factor 1 complex
Q12460	170	90S preribosome
P32774	100	transcription factor TFIIA complex
P53507	452	mitochondrial outer membrane translocase complex (GO)
Q08491	434	exosome (RNase complex)
P52286	417	putative Skp1-Ypt52-Ymr258c complex
P06182	267	putative Cyc3-Yat1 complex
Q05027	174	transcription factor TFIID complex
P36049	204	preribosome, large subunit precursor
Q12398	364	putative Nup170-Nup53-Hms1 complex
P32527	47	ribosome-associated complex
Q07084	54	Ssk1-Ssk2 complex
P52489	394	putative Cdc19-Pyk2 isozyme complex
P40492	132	GID complex
P34087	215	RNA polymerase II complex
P40202	4	Sod1-Css1 heterodimer
P19659	138	Srb-mediator complex
P32492	465	She2-She3-Myo4 complex
P39705	76	Nup60-Nup2 nuclear pore complex
Q06410	81	Atg11-Atg17-Atg29-Cis1 complex
Q12186	423	commitment complex (GO)
P81450	454	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO)
P53550	67	Dcp1-Dcp2 decapping enzyme complex
P32904	94	mitochondtrial large ribosomal subunit
Q12213	219	cytosolic large ribosomal subunit
Q12335	354	putative Ycp4-Rfs1-Pst2 complex
P39727	295	putative Erv46-Erv41-Ero1 complex
P40343	145	ESCRT-0 complex
Q03161	241	putative Nuc1-Trz1-Ymr099c complex
P49704	125	U4-U6 x U5 tri-snRNP complex
P06242	69	TFIIK complex
Q00539	423	commitment complex (GO)
P39076	216	chaperonin-containing T-complex
P35169	507	TORC1 complex
P25615	388	putative Pol4-Rpn5 complex
P32600	507	TORC2 complex (GO)
P20604	280	putative Sit4-Sap185-Rts3-Hrk1 complex
P28778	123	mitochondrial small ribosomal subunit
Q02554	105	snRNP U2
P38313	64	COMA complex
Q02825	513	tRNA-intron endonuclease complex
P35190	426	cyclin-dependent protein kinase holoenzyme complex (GO)
P21801	142	mitochondrial respiratory chain complex II (GO)
P18898	172	CAAX-protein geranylgeranyltransferase complex
P40969	417	CBF3 complex (GO)
P22139	169	RNA polymerase II complex
P40066	74	nucleoporin Nup82 subcomplex
Q06707	116	SWR1 complex
P35189	215	RNA polymerase II complex
Q03761	174	transcription factor TFIID complex
P38689	57	Prs1-Prs3 heterodimer
P47077	412	90S preribosome (GO)
P17157	22	Pcl7-Pho85 CDK-cyclin complex
P29539	473	nuclear telomere cap complex (GO)
P47093	234	snRNP U6
Q06512	170	90S preribosome
Q01159	118	mRNA capping enzyme complex
Q04410	40	Grh1-Bug1 complex
P36224	432	dynactin complex (GO)
P47141	123	mitochondrial small ribosomal subunit
P05747	219	cytosolic large ribosomal subunit
P38886	183	proteasome regulatory particle
P38920	463	Mlh2-Mlh1 heterodimer
P53316	348	putative Sgn1-Ygr250c complex
Q05471	116	SWR1 complex
Q06339	198	transcription factor TFIIIC complex
P0CX33	219	cytosolic large ribosomal subunit
Q08920	470	nuclear cap binding complex (GO)
P40014	108	Ndc80 complex
P32523	409	spliceosome
Q12343	138	Srb-mediator complex
P33767	479	putative Wbp1-Swp1 complex
Q12146	93	GINS complex
P41814	97	tRNA (m1A) methyltransferase complex
P46963	166	carboxy-terminal domain protein kinase complex
P40958	41	Mad1-Mad2 complex
P01123	370	putative Ypt1-Dss4 complex
P40061	508	TORC2 complex (GO)
P39904	178	GARP complex
P18480	171	RSC complex
Q12019	362	putative Arx1-Rsa4-Sda1-Ipi3-Nsa2-Nog2-Bud20-Ipi1-Mdn1 complex
P38920	43	MutLbeta complex (GO)
P41834	29	ER SNARE Use1
P54837	343	putative Emp24-Erv25-Erp3-Erp5 complex
P40186	426	cyclin-dependent protein kinase holoenzyme complex (GO)
Q12207	86	vacuolar proton-transporting V-type ATPase, V0 domain
P05317	219	cytosolic large ribosomal subunit
Q02773	456	mitochondrial ribonuclease P complex (GO)
Q12083	463	MutLbeta complex (GO)
Q12206	242	putative Sas5-Wtm2 complex
P32598	101	CPF complex
P06838	165	nucleotide-excision repair factor 1 complex (GO)
P02406	219	cytosolic large ribosomal subunit
P38819	343	putative Emp24-Erv25-Erp3-Erp5 complex
P18409	458	putative Mdm10-Mpm1-Tom40-Yhm2 complex
Q12417	409	spliceosome
P32897	449	mitochondrial inner membrane presequence translocase complex (GO)
P53040	217	SAGA complex
P53330	171	RSC complex
